Category,Model,MAE,RMSE,R²,MAPE%
Clothing,Linear Regression,2079.0,2644.0,0.8448,3.47
Clothing,Ridge Regression,2067.0,2628.0,0.8467,3.45
Clothing,Random Forest,2535.0,3157.0,0.7788,4.21
Clothing,Gradient Boosting,3032.0,3684.0,0.6987,4.96
Electronics,Linear Regression,3110.0,4048.0,0.8393,2.83
Electronics,Ridge Regression,3010.0,3978.0,0.8448,2.73
Electronics,Random Forest,4640.0,6068.0,0.6388,4.24
Electronics,Gradient Boosting,4029.0,5096.0,0.7452,3.64
Groceries,Linear Regression,3444.0,4344.0,0.706,4.03
Groceries,Ridge Regression,3411.0,4316.0,0.7099,3.98
Groceries,Random Forest,4085.0,5113.0,0.5928,4.72
Groceries,Gradient Boosting,4020.0,5020.0,0.6074,4.66
Home & Garden,Linear Regression,1858.0,2370.0,0.8289,2.78
Home & Garden,Ridge Regression,1868.0,2340.0,0.8332,2.79
Home & Garden,Random Forest,2867.0,3594.0,0.6065,4.32
Home & Garden,Gradient Boosting,2651.0,3231.0,0.682,3.93
Sports,Linear Regression,1887.0,2372.0,0.8221,2.56
Sports,Ridge Regression,1923.0,2389.0,0.8195,2.6
Sports,Random Forest,2235.0,2987.0,0.7179,3.01
Sports,Gradient Boosting,2569.0,3143.0,0.6876,3.44
