,importance
MonthlyRate,0.06082892501028624
DailyRate,0.05973887908919891
DistanceFromHome,0.050159193939846254
CareerStability,0.0468094177041821
HourlyRate,0.04643241438680651
YearsAtCompany,0.044824454804956775
IncomeToAge,0.04433959882106575
Age,0.042950965503440214
TotalWorkingYears,0.04285273681386715
MonthlyIncome,0.04123894823516717
PercentSalaryHike,0.03644022795387489
SatisfactionScore,0.032069924080264364
EnvironmentSatisfaction,0.031530783239716656
IsHighRisk,0.029985412496783347
YearsWithCurrManager,0.028316859573436933
NumCompaniesWorked,0.026994567912629087
JobRole,0.026090079119552616
YearsInCurrentRole,0.023439662703202923
YearsSinceLastPromotion,0.022464619009437473
PromotionLag,0.021991713311145925
